id,height,country,distance,dock,rank,function,usage,dose,count,max,weight,cat1,class,age,target
112,58166.92,CO-12,41678,DO-10,RA-D,FU-29,3915,8131,24843,10900,14722.065,CA-C,CL-21,9023,TA-2
113,54787.15,CO-13,32811,DO-11,RA-3,FU-11,6147,10142,11980,10002,60280.5929,CA-19,CL-10,14380,TA-4
114,64098.99,CO-0,48315,DO-A,RA-3,FU-20,5745,949,5295,7483,25942.5642,CA-16,CL-C,10594,TA-0
115,63955.87,CO-F,37429,DO-3,RA-6,FU-1A,6479,570,20042,7921,NA,CA-22,CL-1E,14306,TA-0
116,45482.91,CO-11,35445,DO-1,RA-4,FU-D,2714,4223,5191,8407,74607.7613,CA-3,CL-7,13515,TA-0
117,47179.24,CO-3,35324,DO-12,RA-12,FU-16,6866,795,31185,2092,22676.6908,CA-2B,CL-B,4787,TA-4
118,43045.34,CO-E,33352,DO-10,RA-16,FU-2,7230,1214,30337,9919,8836.0993,CA-9,CL-24,5769,TA-3
119,85237.14,CO-3,21604,DO-4,RA-18,FU-26,3511,8999,3811,9898,39785.1864,CA-2D,CL-13,4077,TA-3
120,42087.23,CO-9,37537,DO-3,RA-15,FU-19,4454,1264,25090,9552,21087.8709,CA-2B,CL-21,4007,TA-3
121,53001.33,CO-2,49763,DO-9,RA-18,FU-13,4451,6155,19938,8772,NA,CA-24,CL-7,9570,TA-4
122,47692.57,CO-9,60569,DO-3,RA-F,FU-15,5672,6961,19570,5312,38425.3985,CA-22,CL-A,12349,TA-3
123,58535.18,CO-B,31239,DO-8,RA-1C,FU-7,5598,3607,29497,3166,40811.7553,CA-0,CL-E,9522,TA-0
124,70646.17,CO-E,34376,DO-E,RA-6,FU-B,6734,8707,2157,9159,69238.9252,CA-6,CL-6,10543,TA-3
125,41883.29,CO-9,26088,DO-7,RA-D,FU-7,6600,3110,26016,7635,18548.5963,CA-27,CL-7,903,TA-1
126,43775.77,CO-10,51638,DO-3,RA-16,FU-3,6471,9845,11970,11254,69109.2232,CA-1,CL-3,1998,TA-4
127,42600.54,CO-A,35553,DO-11,RA-26,FU-2,3945,7569,19566,12251,31402.6151,CA-0,CL-15,5927,TA-2
128,30016.35,CO-4,37807,DO-D,RA-29,FU-29,4171,3666,25836,4927,58205.2795,CA-4,CL-A,8810,TA-1
129,42929.32,CO-1,27039,DO-D,RA-2,FU-24,4688,3599,23604,11296,75296.1906,CA-14,CL-1,2423,TA-0
130,55852.29,CO-F,33100,DO-D,RA-1,FU-7,6039,9523,24152,9418,39202.7392,CA-27,CL-7,4450,TA-3
131,43965.26,CO-2,46504,DO-1,RA-3,FU-25,4980,4164,10737,8637,13857.1956,CA-23,CL-14,9879,TA-0
132,51033.74,CO-2,45320,DO-A,RA-9,FU-F,6665,1576,16937,8503,51976.8363,CA-C,CL-9,10443,TA-1
133,68981.12,CO-5,48616,DO-2,RA-B,FU-7,5638,5113,23011,9494,NA,CA-1B,CL-E,7401,TA-1
134,24706.18,CO-1,39840,DO-6,RA-A,FU-21,4385,7894,35855,10365,68677.0251,CA-2,CL-1F,2925,TA-0
135,53409.4,CO-C,41933,DO-7,RA-26,FU-22,6985,8540,5419,6369,72423.9252,CA-17,CL-1,11318,TA-3
136,68173.01,CO-8,34170,DO-6,RA-B,FU-F,6544,932,8681,8383,19969.9658,CA-2B,CL-D,7360,TA-1
137,46236.39,CO-6,41536,DO-6,RA-9,FU-21,7163,1937,28760,11865,51876.5121,CA-29,CL-F,12513,TA-2
138,33705.09,CO-B,34315,DO-C,RA-F,FU-7,5082,5096,10660,6685,44606.1076,CA-28,CL-11,6069,TA-3
139,56039.25,CO-1,41162,DO-1,RA-24,FU-2A,4973,7465,28131,6840,55536.0819,CA-16,CL-10,4198,TA-1
140,54735.77,CO-2,29988,DO-4,RA-E,FU-12,7190,8463,4433,8937,27596.4724,CA-4,CL-9,7664,TA-0
141,47073.9,CO-12,51342,DO-12,RA-6,FU-22,4444,2635,25448,7873,6875.7748,CA-8,CL-16,1373,TA-1
142,64049.08,CO-10,42145,DO-4,RA-20,FU-1F,5783,1057,4373,9108,62999.2681,CA-1C,CL-1B,6991,TA-3
143,23147.56,CO-13,43433,DO-10,RA-1A,FU-B,6936,8878,10344,11071,31390.9785,CA-11,CL-1D,4897,TA-4
144,72229.27,CO-12,51534,DO-F,RA-8,FU-24,4893,2296,5654,6775,59723.7139,CA-29,CL-1E,529,TA-4
145,57037.1,CO-9,24936,DO-2,RA-27,FU-22,6479,1707,31025,9546,11588.2722,CA-8,CL-10,14462,TA-0
146,48364.0,CO-A,30693,DO-12,RA-1A,FU-29,3995,8729,10887,7870,NA,CA-13,CL-13,2571,TA-3
147,60162.43,CO-12,21597,DO-5,RA-15,FU-3,4549,2704,29057,10393,13966.887,CA-8,CL-22,7246,TA-0
148,51197.45,CO-5,30732,DO-A,RA-28,FU-10,4026,5015,6846,8810,10663.5607,CA-8,CL-F,11155,TA-0
149,46031.63,CO-4,35990,DO-7,RA-C,FU-2B,5245,8440,14558,7614,19901.0362,CA-C,CL-9,8748,TA-0
150,45628.49,CO-5,34087,DO-12,RA-29,FU-13,4450,1425,34370,8133,70458.2384,CA-21,CL-D,12982,TA-4
151,59982.74,CO-3,43883,DO-6,RA-16,FU-B,5658,8423,33888,6709,NA,CA-D,CL-9,5416,TA-0
152,48346.97,CO-9,33502,DO-7,RA-1C,FU-27,5627,7330,28821,6429,NA,CA-B,CL-F,12051,TA-2
153,40754.93,CO-2,28198,DO-D,RA-14,FU-19,4357,9990,25931,4114,52514.3605,CA-24,CL-3,11803,TA-4
154,61205.12,CO-13,49134,DO-B,RA-5,FU-25,7606,8807,28638,10597,35761.3429,CA-2B,CL-12,5659,TA-4
155,34468.16,CO-1,28500,DO-1,RA-6,FU-26,4010,10240,5423,5430,83440.3846,CA-1A,CL-25,14017,TA-2
156,55529.2,CO-10,37510,DO-C,RA-18,FU-B,5182,877,30524,8639,20539.0015,CA-F,CL-D,12556,TA-1
157,63760.19,CO-10,38402,DO-F,RA-7,FU-13,4577,5472,25162,9226,7589.0129,CA-F,CL-7,1605,TA-1
158,65837.43,CO-0,59606,DO-3,RA-26,FU-2,5994,2881,17577,8855,NA,CA-6,CL-B,1395,TA-0
159,49191.74,CO-8,48210,DO-4,RA-4,FU-23,4733,3444,20811,7174,34759.0744,CA-23,CL-1,4989,TA-0
160,22526.28,CO-0,43322,DO-0,RA-19,FU-12,6882,10955,13791,6054,35842.9449,CA-8,CL-C,7657,TA-0
161,53326.86,CO-A,50105,DO-9,RA-2,FU-17,7310,7487,32140,8518,41279.2015,CA-20,CL-1C,11426,TA-3
162,37169.21,CO-2,58369,DO-A,RA-4,FU-6,4833,2200,5360,9571,73415.9282,CA-6,CL-D,1533,TA-1
163,45813.76,CO-4,42636,DO-5,RA-4,FU-C,5533,2079,12235,10865,4656.9266,CA-6,CL-7,14003,TA-0
164,57680.07,CO-F,31711,DO-4,RA-A,FU-28,4377,4946,11036,11346,34867.9992,CA-B,CL-5,3919,TA-0
165,54007.52,CO-8,33852,DO-0,RA-C,FU-1F,3345,6922,8388,8032,60577.3707,CA-2,CL-E,10263,TA-0
166,46160.43,CO-B,44816,DO-10,RA-12,FU-23,7674,4164,20200,9199,23856.6875,CA-A,CL-0,2851,TA-0
167,82590.08,CO-0,50761,DO-E,RA-9,FU-24,3956,7104,14069,9191,55358.6063,CA-2C,CL-19,8257,TA-3
168,55986.65,CO-A,40142,DO-9,RA-23,FU-2,5601,7748,11165,8478,35307.129,CA-24,CL-1,10087,TA-3
169,31616.6,CO-13,46095,DO-6,RA-6,FU-0,5332,8605,19402,9321,50921.566,CA-A,CL-14,653,TA-2
170,55408.26,CO-12,25855,DO-6,RA-13,FU-25,8770,9630,29281,5887,NA,CA-1F,CL-D,1671,TA-4
171,38090.08,CO-10,35784,DO-2,RA-7,FU-13,5384,3805,33519,8096,82855.107,CA-B,CL-9,872,TA-1
172,41752.36,CO-12,37353,DO-1,RA-19,FU-29,6906,8889,24430,8152,43980.6411,CA-16,CL-20,2378,TA-3
173,46383.01,CO-9,42512,DO-10,RA-27,FU-1F,5967,1163,21241,6292,NA,CA-1D,CL-14,12202,TA-4
174,50506.41,CO-4,33868,DO-12,RA-1C,FU-10,6413,10385,24119,11353,74878.2713,CA-18,CL-9,4327,TA-4
175,60018.54,CO-11,37426,DO-5,RA-D,FU-2,5998,1075,7314,10189,83179.5035,CA-7,CL-1F,13671,TA-2
176,32937.06,CO-C,46010,DO-6,RA-17,FU-1E,2956,2601,15475,11211,75158.4936,CA-1E,CL-16,9440,TA-4
177,54250.03,CO-3,39525,DO-4,RA-28,FU-21,6495,10645,5032,11448,4469.1688,CA-23,CL-15,6588,TA-2
178,50673.94,CO-F,46290,DO-A,RA-12,FU-26,5084,8794,36369,11855,30769.4946,CA-E,CL-3,6958,TA-0
179,47841.45,CO-12,22018,DO-D,RA-15,FU-28,5655,429,28363,7752,9843.201,CA-7,CL-6,9996,TA-0
180,47582.7,CO-8,42677,DO-4,RA-1E,FU-12,5197,6356,29998,8505,5894.0746,CA-1E,CL-1F,915,TA-1
181,48172.87,CO-9,35820,DO-1,RA-B,FU-1F,4620,3136,5233,7983,17522.8184,CA-A,CL-11,11681,TA-0
182,59898.17,CO-14,45570,DO-7,RA-1D,FU-13,3185,8860,6617,5779,2612.9984,CA-0,CL-24,12712,TA-1
183,42396.33,CO-8,38134,DO-D,RA-1F,FU-23,6253,3988,7897,5304,32060.9678,CA-1E,CL-13,1574,TA-1
184,54002.27,CO-9,42160,DO-4,RA-7,FU-2A,6240,6093,22212,8057,NA,CA-1D,CL-1A,7612,TA-2
185,49931.99,CO-0,38650,DO-E,RA-F,FU-14,5301,5464,35958,11111,35808.8597,CA-15,CL-10,11543,TA-0
186,49762.19,CO-2,44075,DO-2,RA-4,FU-E,4835,6962,9712,9029,7235.1705,CA-1,CL-1C,7225,TA-0
187,58947.99,CO-11,49281,DO-0,RA-18,FU-1E,5099,679,31474,6471,1614.0507,CA-1F,CL-1E,7705,TA-0
188,50563.22,CO-1,50499,DO-1,RA-15,FU-0,4097,5357,13507,10922,72639.7252,CA-28,CL-6,6388,TA-4
189,63781.74,CO-6,46184,DO-0,RA-F,FU-1E,4953,4517,2365,8499,18278.9857,CA-13,CL-C,10294,TA-0
190,55856.08,CO-9,40391,DO-4,RA-21,FU-26,3506,907,14533,12811,32114.0617,CA-18,CL-1F,10050,TA-2
191,38656.44,CO-0,41339,DO-D,RA-13,FU-16,4629,1706,32570,5424,61380.8696,CA-1F,CL-1D,12271,TA-4
192,50677.53,CO-14,41635,DO-10,RA-1F,FU-15,4353,10504,28399,5745,NA,CA-18,CL-9,7049,TA-4
193,59794.87,CO-0,50157,DO-F,RA-14,FU-10,5648,3040,33838,11780,2853.1963,CA-2C,CL-0,9791,TA-0
194,49906.05,CO-7,28453,DO-7,RA-7,FU-1,3814,10816,14002,7868,49724.2588,CA-F,CL-10,7365,TA-1
195,66219.02,CO-5,39117,DO-2,RA-2,FU-1,7214,7964,26092,10510,62971.3728,CA-5,CL-16,8061,TA-1
196,47631.99,CO-1,60148,DO-11,RA-22,FU-1C,4559,3713,33414,6232,79868.9259,CA-2,CL-13,10826,TA-3
197,31002.39,CO-4,27378,DO-4,RA-1D,FU-E,4268,5629,26214,12234,61841.0714,CA-24,CL-E,1851,TA-3
198,40153.66,CO-0,39367,DO-C,RA-17,FU-1A,6146,230,27383,6351,30140.1512,CA-1,CL-18,2360,TA-0
199,52908.08,CO-7,29350,DO-3,RA-21,FU-14,5965,3939,33702,6363,44633.5532,CA-A,CL-4,8531,TA-0
200,36085.97,CO-F,56333,DO-6,RA-C,FU-4,7337,6466,2635,9211,29639.148,CA-29,CL-14,1530,TA-3
201,60817.05,CO-6,29218,DO-8,RA-15,FU-16,6755,1126,26777,8078,49527.6234,CA-12,CL-24,12098,TA-1
202,47390.24,CO-7,27130,DO-4,RA-16,FU-1D,7035,5933,29923,8258,54112.7296,CA-2,CL-1C,868,TA-1
203,64759.69,CO-13,41317,DO-4,RA-10,FU-20,6566,5487,34555,10746,79339.9562,CA-11,CL-25,1958,TA-4
204,37306.37,CO-8,43308,DO-4,RA-B,FU-B,6430,1654,9831,8890,83628.1947,CA-F,CL-1F,4480,TA-2
205,28223.34,CO-0,44130,DO-1,RA-6,FU-16,4837,4080,8822,10065,NA,CA-23,CL-1C,10681,TA-0
206,55464.79,CO-1,50658,DO-8,RA-17,FU-4,5985,1820,5039,9437,72904.8961,CA-24,CL-3,12529,TA-3
207,49492.34,CO-11,22447,DO-7,RA-23,FU-2,4740,987,24004,8375,46838.0662,CA-16,CL-F,13089,TA-1
208,61750.69,CO-13,39958,DO-9,RA-1E,FU-28,4555,2230,26984,10143,38976.9144,CA-3,CL-13,10535,TA-2
209,38666.3,CO-13,31809,DO-10,RA-F,FU-11,6462,2825,30307,4456,84008.1489,CA-8,CL-C,3460,TA-4
210,50527.67,CO-E,39858,DO-0,RA-22,FU-9,5790,8822,7294,9370,NA,CA-1B,CL-23,8650,TA-2
