mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name
23.0,4,97.0,54.0,2254,23.5,72,2,volkswagen type 3
20.0,6,225.0,100.0,3651,17.7,76,1,dodge aspen se
15.0,6,250.0,72.0,3432,21.0,75,1,mercury monarch
25.0,4,113.0,95.0,2228,14.0,71,3,toyota corona
18.5,6,250.0,98.0,3525,19.0,77,1,ford granada
16.0,6,225.0,105.0,3439,15.5,71,1,plymouth satellite custom
26.0,4,97.0,75.0,2265,18.2,77,3,toyota corolla liftback
21.0,6,199.0,90.0,2648,15.0,70,1,amc gremlin
27.0,4,151.0,90.0,2735,18.0,82,1,pontiac phoenix
20.5,6,225.0,100.0,3430,17.2,78,1,plymouth volare
10.0,8,307.0,200.0,4376,15.0,70,1,chevy c20
13.0,8,302.0,140.0,4294,16.0,72,1,ford gran torino (sw)
18.0,3,70.0,90.0,2124,13.5,73,3,maxda rx3
32.2,4,108.0,75.0,2265,15.2,80,3,toyota corolla
26.5,4,140.0,72.0,2565,13.6,76,1,ford pinto
25.0,4,98.0,,2046,19.0,71,1,ford pinto
31.0,4,119.0,82.0,2720,19.4,82,1,chevy s-10
15.5,8,400.0,190.0,4325,12.2,77,1,chrysler cordoba
26.0,4,156.0,92.0,2585,14.5,82,1,chrysler lebaron medallion
27.0,4,97.0,88.0,2100,16.5,72,3,toyota corolla 1600 (sw)
27.0,4,140.0,86.0,2790,15.6,82,1,ford mustang gl
27.0,4,97.0,88.0,2130,14.5,70,3,datsun pl510
23.0,4,140.0,78.0,2592,18.5,75,1,pontiac astro
18.0,6,225.0,95.0,3785,19.0,75,1,plymouth fury
29.0,4,98.0,83.0,2219,16.5,74,2,audi fox
29.0,4,68.0,49.0,1867,19.5,73,2,fiat 128
29.5,4,98.0,68.0,2135,16.6,78,3,honda accord lx
13.0,8,302.0,129.0,3169,12.0,75,1,ford mustang ii
17.6,8,302.0,129.0,3725,13.4,79,1,ford ltd landau
22.0,4,121.0,76.0,2511,18.0,72,2,volkswagen 411 (sw)
19.0,6,250.0,100.0,3282,15.0,71,1,pontiac firebird
32.1,4,98.0,70.0,2120,15.5,80,1,chevrolet chevette
24.0,4,113.0,95.0,2278,15.5,72,3,toyota corona hardtop
15.0,8,318.0,150.0,3777,12.5,73,1,dodge coronet custom
44.6,4,91.0,67.0,1850,13.8,80,3,honda civic 1500 gl
46.6,4,86.0,65.0,2110,17.9,80,3,mazda glc
19.0,6,232.0,100.0,2901,16.0,74,1,amc hornet
16.0,8,302.0,140.0,4141,14.0,74,1,ford gran torino
15.5,8,318.0,145.0,4140,13.7,77,1,dodge monaco brougham
18.1,6,258.0,120.0,3410,15.1,78,1,amc concord d/l
29.9,4,98.0,65.0,2380,20.7,81,1,ford escort 2h
36.0,4,98.0,70.0,2125,17.3,82,1,mercury lynx l
39.4,4,85.0,70.0,2070,18.6,78,3,datsun b210 gx
28.0,4,112.0,88.0,2605,19.6,82,1,chevrolet cavalier
25.0,4,140.0,92.0,2572,14.9,76,1,capri ii
32.3,4,97.0,67.0,2065,17.8,81,3,subaru
12.0,8,383.0,180.0,4955,11.5,71,1,dodge monaco (sw)
10.0,8,360.0,215.0,4615,14.0,70,1,ford f250
22.3,4,140.0,88.0,2890,17.3,79,1,ford fairmont 4
31.0,4,79.0,67.0,2000,16.0,74,2,fiat x1.9
34.5,4,100.0,,2320,15.8,81,2,renault 18i
21.0,4,140.0,72.0,2401,19.5,73,1,chevrolet vega
27.0,4,97.0,60.0,1834,19.0,71,2,volkswagen model 111
23.7,3,70.0,100.0,2420,12.5,80,3,mazda rx-7 gs
26.6,4,151.0,84.0,2635,16.4,81,1,buick skylark
32.0,4,71.0,65.0,1836,21.0,74,3,toyota corolla 1200
24.3,4,151.0,90.0,3003,20.1,80,1,amc concord
19.4,6,232.0,90.0,3210,17.2,78,1,amc concord
20.6,6,231.0,105.0,3380,15.8,78,1,buick century special
23.0,4,115.0,95.0,2694,15.0,75,2,audi 100ls
38.0,4,91.0,67.0,1965,15.0,82,3,honda civic
25.8,4,156.0,92.0,2620,14.4,81,1,dodge aries wagon (sw)
28.1,4,141.0,80.0,3230,20.4,81,2,peugeot 505s turbo diesel
37.7,4,89.0,62.0,2050,17.3,81,3,toyota tercel
30.0,4,79.0,70.0,2074,19.5,71,2,peugeot 304
21.0,6,200.0,,2875,17.0,74,1,ford maverick
34.0,4,108.0,70.0,2245,16.9,82,3,toyota corolla
30.0,4,111.0,80.0,2155,14.8,77,1,buick opel isuzu deluxe
20.2,6,200.0,85.0,2965,15.8,78,1,ford fairmont (auto)
12.0,8,455.0,225.0,4951,11.0,73,1,buick electra 225 custom
34.7,4,105.0,63.0,2215,14.9,81,1,plymouth horizon 4
14.0,8,350.0,165.0,4209,12.0,71,1,chevrolet impala
29.0,4,135.0,84.0,2525,16.0,82,1,dodge aries se
36.0,4,135.0,84.0,2370,13.0,82,1,dodge charger 2.2
23.0,4,151.0,,3035,20.5,82,1,amc concord dl
22.0,4,121.0,98.0,2945,14.5,75,2,volvo 244dl
14.0,8,455.0,225.0,3086,10.0,70,1,buick estate wagon (sw)
32.0,4,144.0,96.0,2665,13.9,82,3,toyota celica gt
24.0,4,140.0,92.0,2865,16.4,82,1,ford fairmont futura
33.0,4,91.0,53.0,1795,17.4,76,3,honda civic
23.0,4,122.0,86.0,2220,14.0,71,1,mercury capri 2000
14.0,8,440.0,215.0,4312,8.5,70,1,plymouth fury iii
19.8,6,200.0,85.0,2990,18.2,79,1,mercury zephyr 6
21.5,4,121.0,110.0,2600,12.8,77,2,bmw 320i
25.4,6,168.0,116.0,2900,12.6,81,3,toyota cressida
15.0,8,429.0,198.0,4341,10.0,70,1,ford galaxie 500
12.0,8,350.0,180.0,4499,12.5,73,1,oldsmobile vista cruiser
34.2,4,105.0,70.0,2200,13.2,79,1,plymouth horizon
17.5,8,318.0,140.0,4080,13.7,78,1,dodge magnum xe
32.0,4,135.0,84.0,2295,11.6,82,1,dodge rampage
24.5,4,98.0,60.0,2164,22.1,76,1,chevrolet woody
16.0,8,351.0,149.0,4335,14.5,77,1,ford thunderbird
20.2,6,200.0,88.0,3060,17.1,81,1,ford granada gl
24.0,4,116.0,75.0,2158,15.5,73,2,opel manta
20.0,4,130.0,102.0,3150,15.7,76,2,volvo 245
13.0,8,351.0,158.0,4363,13.0,73,1,ford ltd
15.0,8,400.0,150.0,3761,9.5,70,1,chevrolet monte carlo
30.0,4,146.0,67.0,3250,21.8,80,2,mercedes-benz 240d
24.0,4,113.0,95.0,2372,15.0,70,3,toyota corona mark ii
13.0,8,350.0,165.0,4274,12.0,72,1,chevrolet impala
31.0,4,112.0,85.0,2575,16.2,82,1,pontiac j2000 se hatchback
15.0,8,350.0,165.0,3693,11.5,70,1,buick skylark 320
18.0,6,232.0,100.0,2789,15.0,73,1,amc gremlin
15.0,8,350.0,145.0,4440,14.0,75,1,chevrolet bel air
30.0,4,88.0,76.0,2065,14.5,71,2,fiat 124b
33.5,4,85.0,70.0,1945,16.8,77,3,datsun f-10 hatchback
19.0,4,120.0,88.0,3270,21.9,76,2,peugeot 504
33.5,4,151.0,90.0,2556,13.2,79,1,pontiac phoenix
14.0,8,302.0,137.0,4042,14.5,73,1,ford gran torino
37.2,4,86.0,65.0,2019,16.4,80,3,datsun 310
22.5,6,232.0,90.0,3085,17.6,76,1,amc hornet
15.5,8,350.0,170.0,4165,11.4,77,1,chevrolet monte carlo landau
25.4,5,183.0,77.0,3530,20.1,79,2,mercedes benz 300d
24.5,4,151.0,88.0,2740,16.0,77,1,pontiac sunbird coupe
14.0,8,318.0,150.0,4237,14.5,73,1,plymouth fury gran sedan
17.0,8,305.0,130.0,3840,15.4,79,1,chevrolet caprice classic
25.0,6,181.0,110.0,2945,16.4,82,1,buick century limited
18.2,8,318.0,135.0,3830,15.2,79,1,dodge st. regis
28.0,4,140.0,90.0,2264,15.5,71,1,chevrolet vega 2300
29.0,4,85.0,52.0,2035,22.2,76,1,chevrolet chevette
33.5,4,98.0,83.0,2075,15.9,77,1,dodge colt m/m
30.7,6,145.0,76.0,3160,19.6,81,2,volvo diesel
20.3,5,131.0,103.0,2830,15.9,78,2,audi 5000
17.5,8,305.0,140.0,4215,13.0,76,1,chevrolet chevelle malibu classic
35.1,4,81.0,60.0,1760,16.1,81,3,honda civic 1300
13.0,8,350.0,175.0,4100,13.0,73,1,buick century 350
28.0,4,120.0,79.0,2625,18.6,82,1,ford ranger
27.4,4,121.0,80.0,2670,15.0,79,1,amc spirit dl
12.0,8,350.0,160.0,4456,13.5,72,1,oldsmobile delta 88 royale
26.8,6,173.0,115.0,2700,12.9,79,1,oldsmobile omega brougham
20.2,6,232.0,90.0,3265,18.2,79,1,amc concord dl 6
32.0,4,83.0,61.0,2003,19.0,74,3,datsun 710
27.0,4,112.0,88.0,2640,18.6,82,1,chevrolet cavalier wagon
14.0,8,302.0,140.0,4638,16.0,74,1,ford gran torino (sw)
38.0,6,262.0,85.0,3015,17.0,82,1,oldsmobile cutlass ciera (diesel)
20.0,8,262.0,110.0,3221,13.5,75,1,chevrolet monza 2+2
24.0,4,134.0,96.0,2702,13.5,75,3,toyota corona
38.0,4,105.0,63.0,2125,14.7,82,1,plymouth horizon miser
27.9,4,156.0,105.0,2800,14.4,80,1,dodge colt
23.0,6,198.0,95.0,2904,16.0,73,1,plymouth duster
16.0,8,400.0,230.0,4278,9.5,73,1,pontiac grand prix
21.0,4,122.0,86.0,2226,16.5,72,1,ford pinto runabout
13.0,8,350.0,145.0,4055,12.0,76,1,chevy c10
30.5,4,98.0,63.0,2051,17.0,77,1,chevrolet chevette
39.1,4,79.0,58.0,1755,16.9,81,3,toyota starlet
13.0,8,302.0,130.0,3870,15.0,76,1,ford f108
20.0,6,156.0,122.0,2807,13.5,73,3,toyota mark ii
36.0,4,107.0,75.0,2205,14.5,82,3,honda accord
18.0,6,250.0,88.0,3021,16.5,73,1,ford maverick
21.5,6,231.0,115.0,3245,15.4,79,1,pontiac lemans v6
16.9,8,350.0,155.0,4360,14.9,79,1,buick estate wagon (sw)
31.5,4,98.0,68.0,2045,18.5,77,3,honda accord cvcc
19.0,3,70.0,97.0,2330,13.5,72,3,mazda rx2 coupe
20.0,6,232.0,100.0,2914,16.0,75,1,amc gremlin
34.4,4,98.0,65.0,2045,16.2,81,1,ford escort 4w
20.6,6,225.0,110.0,3360,16.6,79,1,dodge aspen 6
19.0,6,156.0,108.0,2930,15.5,76,3,toyota mark ii
38.0,4,91.0,67.0,1995,16.2,82,3,datsun 310 gx
35.7,4,98.0,80.0,1915,14.4,79,1,dodge colt hatchback custom
16.0,8,318.0,150.0,4190,13.0,76,1,dodge coronet brougham
17.0,8,304.0,150.0,3672,11.5,72,1,amc ambassador sst
22.0,6,198.0,95.0,2833,15.5,70,1,plymouth duster
11.0,8,429.0,208.0,4633,11.0,72,1,mercury marquis
18.0,8,318.0,150.0,3436,11.0,70,1,plymouth satellite
26.4,4,140.0,88.0,2870,18.1,80,1,ford fairmont
27.0,4,151.0,90.0,2950,17.3,82,1,chevrolet camaro
41.5,4,98.0,76.0,2144,14.7,80,2,vw rabbit
14.0,8,318.0,150.0,4077,14.0,72,1,plymouth satellite custom (sw)
25.0,4,97.5,80.0,2126,17.0,72,1,dodge colt hardtop
34.0,4,112.0,88.0,2395,18.0,82,1,chevrolet cavalier 2-door
15.0,8,318.0,150.0,4135,13.5,72,1,plymouth fury iii
19.1,6,225.0,90.0,3381,18.7,80,1,dodge aspen
26.0,4,122.0,80.0,2451,16.5,74,1,ford pinto
36.1,4,91.0,60.0,1800,16.4,78,3,honda civic cvcc
37.0,4,119.0,92.0,2434,15.0,80,3,datsun 510 hatchback
16.0,6,250.0,100.0,3278,18.0,73,1,chevrolet nova custom
27.2,4,141.0,71.0,3190,24.8,79,2,peugeot 504
31.5,4,89.0,71.0,1990,14.9,78,2,volkswagen scirocco
14.0,8,304.0,150.0,4257,15.5,74,1,amc matador (sw)
29.5,4,97.0,71.0,1825,12.2,76,2,volkswagen rabbit
28.0,4,97.0,92.0,2288,17.0,72,3,datsun 510 (sw)
13.0,8,400.0,175.0,5140,12.0,71,1,pontiac safari (sw)
27.0,4,97.0,88.0,2130,14.5,71,3,datsun pl510
11.0,8,318.0,210.0,4382,13.5,70,1,dodge d200
23.0,8,350.0,125.0,3900,17.4,79,1,cadillac eldorado
18.0,6,258.0,110.0,2962,13.5,71,1,amc hornet sportabout (sw)
20.0,4,140.0,90.0,2408,19.5,72,1,chevrolet vega
23.0,4,120.0,97.0,2506,14.5,72,3,toyouta corona mark ii (sw)
23.0,4,120.0,88.0,2957,17.0,75,2,peugeot 504
25.0,4,110.0,87.0,2672,17.5,70,2,peugeot 504
13.0,8,400.0,150.0,4464,12.0,73,1,chevrolet caprice classic
22.0,6,232.0,112.0,2835,14.7,82,1,ford granada l
14.0,8,351.0,153.0,4129,13.0,72,1,ford galaxie 500
12.0,8,429.0,198.0,4952,11.5,73,1,mercury marquis brougham
33.8,4,97.0,67.0,2145,18.0,80,3,subaru dl
20.0,6,198.0,95.0,3102,16.5,74,1,plymouth duster
15.0,6,250.0,100.0,3336,17.0,74,1,chevrolet nova
32.0,4,91.0,67.0,1965,15.7,82,3,honda civic (auto)
35.0,4,72.0,69.0,1613,18.0,71,3,datsun 1200
36.0,4,79.0,58.0,1825,18.6,77,2,renault 5 gtl
31.0,4,91.0,68.0,1970,17.6,82,3,mazda glc custom
26.0,4,97.0,78.0,2300,14.5,74,2,opel manta
34.1,4,91.0,68.0,1985,16.0,81,3,mazda glc 4
44.3,4,90.0,48.0,2085,21.7,80,2,vw rabbit c (diesel)
19.2,8,305.0,145.0,3425,13.2,78,1,chevrolet monte carlo landau
20.2,8,302.0,139.0,3570,12.8,78,1,mercury monarch ghia
14.0,8,400.0,175.0,4464,11.5,71,1,pontiac catalina brougham
20.8,6,200.0,85.0,3070,16.7,78,1,mercury zephyr
22.0,4,108.0,94.0,2379,16.5,73,3,datsun 610
13.0,8,350.0,145.0,3988,13.0,73,1,chevrolet malibu
32.8,4,78.0,52.0,1985,19.4,78,3,mazda glc deluxe
16.5,8,351.0,138.0,3955,13.2,79,1,mercury grand marquis
18.0,6,250.0,78.0,3574,21.0,76,1,ford granada ghia
26.0,4,79.0,67.0,1963,15.5,74,2,volkswagen dasher
14.0,8,304.0,150.0,3672,11.5,73,1,amc matador
28.0,4,151.0,90.0,2678,16.5,80,1,chevrolet citation
18.0,6,225.0,105.0,3121,16.5,73,1,plymouth valiant
44.0,4,97.0,52.0,2130,24.6,82,2,vw pickup
14.5,8,351.0,152.0,4215,12.8,76,1,ford gran torino
22.0,4,122.0,86.0,2395,16.0,72,1,ford pinto (sw)
28.0,4,90.0,75.0,2125,14.5,74,1,dodge colt
20.5,6,200.0,95.0,3155,18.2,78,1,chevrolet malibu
15.0,8,304.0,150.0,3892,12.5,72,1,amc matador (sw)
13.0,8,318.0,150.0,3755,14.0,76,1,dodge d100
13.0,8,400.0,190.0,4422,12.5,72,1,chrysler newport royal
18.5,8,360.0,150.0,3940,13.0,79,1,chrysler lebaron town @ country (sw)
