metal,shape,height,length,width,weight
platinum,box,5,9,8,7592.4
tin,box,3,5,1,109.65
bronze,box,1,4,6,222.96
tin,cylinder,7,7,7,1969.25
platinum,cylinder,2,1,1,33.13
platinum,cylinder,1,7,7,811.64
tin,sphere,4,4,4,244.96
gold,box,2,3,4,463.68
tin,cylinder,4,2,2,91.86
tin,box,6,4,3,526.32
gold,sphere,2,2,2,80.93
gold,cylinder,9,7,7,6691.69
platinum,sphere,8,8,8,5653.86
gold,sphere,10,10,10,10115.93
bronze,cylinder,1,7,7,357.52
gold,box,9,6,4,4173.12
silver,cylinder,10,3,3,741.49
gold,sphere,1,1,1,10.12
bronze,cylinder,5,3,3,328.34
bronze,cylinder,7,3,3,459.67
tin,box,2,4,9,526.32
bronze,sphere,5,5,5,608.03
tin,sphere,9,9,9,2790.25
bronze,cylinder,5,4,4,583.71
tin,cylinder,6,7,7,1687.93
gold,cylinder,1,6,6,546.26
gold,cylinder,10,9,9,12290.85
gold,box,9,8,2,2782.08
tin,box,9,8,9,4736.88
gold,sphere,2,2,2,80.93
gold,box,7,5,6,4057.2
silver,sphere,3,3,3,148.3
tin,cylinder,8,7,7,2250.57
platinum,cylinder,10,5,5,4141.01
gold,cylinder,7,2,2,424.87
bronze,box,6,6,6,2006.64
gold,sphere,3,3,3,273.13
gold,sphere,2,2,2,80.93
gold,box,8,6,6,5564.16
bronze,cylinder,3,9,9,1773.01
bronze,cylinder,7,1,1,51.07
silver,sphere,5,5,5,686.57
tin,sphere,2,2,2,30.62
silver,box,9,4,9,3398.76
bronze,cylinder,6,5,5,1094.45
bronze,box,8,7,10,5202.4
silver,box,2,2,9,377.64
tin,sphere,10,10,10,3827.51
platinum,cylinder,9,3,3,1341.69
bronze,box,1,3,9,250.83
silver,cylinder,6,2,2,197.73
platinum,sphere,3,3,3,298.15
gold,box,1,2,5,193.2
bronze,cylinder,7,1,1,51.07
platinum,cylinder,10,3,3,1490.76
bronze,box,9,6,1,501.66
bronze,box,10,4,7,2601.2
silver,cylinder,5,8,8,2636.42
bronze,box,2,8,2,297.28
silver,cylinder,3,5,5,617.91
silver,sphere,1,1,1,5.49
bronze,box,8,1,2,148.64
tin,sphere,3,3,3,103.34
platinum,cylinder,4,1,1,66.26
gold,sphere,4,4,4,647.42
platinum,cylinder,2,5,5,828.2
tin,cylinder,9,5,5,1291.78
tin,cylinder,3,10,10,1722.38
platinum,sphere,1,1,1,11.04
bronze,sphere,4,4,4,311.31
bronze,sphere,7,7,7,1668.43
silver,box,6,7,10,4405.8
silver,box,6,6,3,1132.92
bronze,box,8,1,2,148.64
gold,sphere,8,8,8,5179.36
silver,box,1,7,8,587.44
silver,box,10,1,2,209.8
bronze,sphere,8,8,8,2490.49
bronze,box,3,3,5,418.05
tin,sphere,10,10,10,3827.51
tin,box,3,8,9,1578.96
platinum,sphere,4,4,4,706.73
silver,sphere,9,9,9,4004.07
gold,box,7,9,5,6085.8
tin,box,5,3,2,219.3
platinum,cylinder,6,8,8,6360.59
bronze,box,8,6,9,4013.28
gold,sphere,7,7,7,3469.76
platinum,cylinder,5,5,5,2070.51
silver,cylinder,9,7,7,3633.32
silver,sphere,7,7,7,1883.95
tin,sphere,3,3,3,103.34
gold,box,5,3,6,1738.8
bronze,cylinder,9,5,5,1641.68
platinum,cylinder,8,10,10,13251.24
tin,cylinder,1,7,7,281.32
silver,sphere,2,2,2,43.94
silver,box,8,8,7,4699.52
gold,box,3,10,1,579.6
bronze,box,3,8,10,2229.6
platinum,box,2,9,6,2277.72
silver,cylinder,5,10,10,4119.41
silver,cylinder,8,7,7,3229.62
gold,cylinder,9,7,7,6691.69
tin,sphere,8,8,8,1959.68
silver,cylinder,6,6,6,1779.59
platinum,box,6,9,5,5694.3
platinum,cylinder,6,2,2,397.54
silver,cylinder,3,4,4,395.46
gold,box,4,5,7,2704.8
bronze,cylinder,5,3,3,328.34
tin,sphere,3,3,3,103.34
gold,box,4,10,4,3091.2
bronze,cylinder,9,1,1,65.67
platinum,box,10,4,8,6748.8
bronze,box,6,5,3,836.1
gold,sphere,5,5,5,1264.49
platinum,cylinder,3,10,10,4969.21
silver,box,6,2,10,1258.8
gold,cylinder,3,2,2,182.09
platinum,cylinder,2,4,4,530.05
bronze,sphere,5,5,5,608.03
tin,sphere,5,5,5,478.44
platinum,box,7,2,5,1476.3
platinum,cylinder,4,6,6,2385.22
silver,cylinder,2,5,5,411.94
platinum,cylinder,3,8,8,3180.3
platinum,cylinder,7,8,8,7420.69
tin,box,8,5,4,1169.6
silver,cylinder,5,7,7,2018.51
platinum,cylinder,8,4,4,2120.2
platinum,sphere,2,2,2,88.34
tin,box,3,8,10,1754.4
tin,box,4,2,6,350.88
bronze,box,8,1,8,594.56
tin,box,2,6,5,438.6
tin,box,4,2,8,467.84
gold,box,7,10,6,8114.4
platinum,sphere,2,2,2,88.34
platinum,cylinder,8,6,6,4770.45
bronze,cylinder,2,6,6,525.34
silver,cylinder,1,9,9,667.34
tin,cylinder,10,5,5,1435.32
gold,cylinder,4,8,8,3884.52
gold,sphere,5,5,5,1264.49
tin,box,9,10,6,3947.4
bronze,cylinder,5,8,8,2334.83
bronze,box,1,8,4,297.28
bronze,cylinder,1,1,1,7.3
platinum,box,9,3,10,5694.3
silver,cylinder,10,10,10,8238.83
gold,cylinder,3,6,6,1638.78
gold,cylinder,2,1,1,30.35
bronze,cylinder,3,7,7,1072.56
gold,sphere,7,7,7,3469.76
bronze,sphere,5,5,5,608.03
gold,sphere,10,10,10,10115.93
platinum,cylinder,3,5,5,1242.3
gold,box,6,3,8,2782.08
tin,sphere,8,8,8,1959.68
platinum,sphere,9,9,9,8050.13
tin,cylinder,1,7,7,281.32
platinum,cylinder,9,7,7,7304.74
silver,box,8,7,6,3524.64
gold,box,6,2,9,2086.56
bronze,sphere,6,6,6,1050.67
bronze,sphere,4,4,4,311.31
gold,cylinder,8,9,9,9832.68
bronze,box,6,7,3,1170.54
gold,box,6,5,2,1159.2
gold,sphere,5,5,5,1264.49
platinum,sphere,7,7,7,3787.65
tin,sphere,3,3,3,103.34
tin,cylinder,9,10,10,5167.13
platinum,box,6,9,5,5694.3
bronze,cylinder,10,1,1,72.96
tin,box,10,8,3,1754.4
platinum,sphere,6,6,6,2385.22
gold,box,4,4,10,3091.2
tin,cylinder,9,1,1,51.67
silver,sphere,3,3,3,148.3
bronze,sphere,8,8,8,2490.49
silver,box,2,6,2,251.76
tin,sphere,5,5,5,478.44
silver,cylinder,1,4,4,131.82
platinum,cylinder,3,5,5,1242.3
bronze,sphere,7,7,7,1668.43
tin,box,6,5,8,1754.4
bronze,box,6,5,9,2508.3
silver,sphere,2,2,2,43.94
tin,sphere,5,5,5,478.44
platinum,cylinder,10,2,2,662.56
platinum,sphere,5,5,5,1380.34
gold,sphere,2,2,2,80.93
gold,cylinder,7,4,4,1699.48
gold,sphere,9,9,9,7374.51
bronze,box,4,7,3,780.36
gold,cylinder,4,10,10,6069.56
bronze,sphere,8,8,8,2490.49
silver,sphere,4,4,4,351.52
bronze,sphere,8,8,8,2490.49
bronze,sphere,8,8,8,2490.49
tin,sphere,9,9,9,2790.25
platinum,cylinder,8,10,10,13251.24
tin,box,9,10,10,6579.0
platinum,sphere,7,7,7,3787.65
tin,box,9,3,6,1184.22
tin,cylinder,5,1,1,28.71
silver,box,5,6,6,1888.2
tin,cylinder,6,4,4,551.16
bronze,sphere,7,7,7,1668.43
bronze,box,3,5,4,557.4
bronze,cylinder,1,7,7,357.52
gold,box,1,8,5,772.8
platinum,cylinder,9,7,7,7304.74
gold,cylinder,8,9,9,9832.68
tin,cylinder,6,8,8,2204.64
bronze,box,3,2,8,445.92
platinum,cylinder,4,3,3,596.31
tin,cylinder,5,5,5,717.66
bronze,box,2,8,4,594.56
tin,sphere,10,10,10,3827.51
tin,box,1,9,8,526.32
gold,cylinder,10,6,6,5462.6
platinum,box,10,9,1,1898.1
platinum,cylinder,6,5,5,2484.61
bronze,box,6,1,10,557.4
gold,cylinder,2,9,9,2458.17
gold,sphere,7,7,7,3469.76
platinum,box,4,9,6,4555.44
bronze,cylinder,7,10,10,5107.44
bronze,box,2,2,2,74.32
silver,box,9,6,3,1699.38
tin,cylinder,8,7,7,2250.57
gold,box,7,8,6,6491.52
platinum,cylinder,1,7,7,811.64
bronze,box,1,5,1,46.45
silver,box,9,5,9,4248.45
gold,cylinder,1,4,4,242.78
bronze,box,5,7,2,650.3
gold,cylinder,6,6,6,3277.56
tin,cylinder,6,3,3,310.03
platinum,cylinder,2,3,3,298.15
bronze,sphere,10,10,10,4864.23
tin,box,4,7,10,2046.8
platinum,box,10,4,2,1687.2
silver,sphere,10,10,10,5492.55
gold,sphere,1,1,1,10.12
silver,box,2,9,1,188.82
bronze,box,5,5,5,1161.25
platinum,sphere,2,2,2,88.34
platinum,sphere,1,1,1,11.04
gold,sphere,9,9,9,7374.51
platinum,cylinder,9,3,3,1341.69
bronze,sphere,10,10,10,4864.23
bronze,cylinder,4,3,3,262.67
silver,sphere,3,3,3,148.3
platinum,box,10,3,7,4428.9
platinum,sphere,6,6,6,2385.22
gold,cylinder,5,4,4,1213.91
gold,sphere,4,4,4,647.42
gold,sphere,6,6,6,2185.04
silver,cylinder,10,4,4,1318.21
silver,sphere,8,8,8,2812.19
platinum,sphere,8,8,8,5653.86
gold,sphere,2,2,2,80.93
gold,cylinder,4,10,10,6069.56
bronze,box,6,8,3,1337.76
silver,cylinder,9,8,8,4745.56
bronze,cylinder,8,8,8,3735.73
platinum,sphere,8,8,8,5653.86
platinum,sphere,4,4,4,706.73
tin,cylinder,2,2,2,45.93
bronze,box,3,5,3,418.05
tin,sphere,3,3,3,103.34
platinum,sphere,4,4,4,706.73
bronze,cylinder,9,4,4,1050.67
platinum,sphere,4,4,4,706.73
platinum,sphere,9,9,9,8050.13
silver,box,7,6,6,2643.48
tin,sphere,9,9,9,2790.25
platinum,sphere,2,2,2,88.34
bronze,cylinder,10,10,10,7296.35
gold,cylinder,10,6,6,5462.6
silver,cylinder,7,6,6,2076.18
bronze,sphere,5,5,5,608.03
silver,sphere,7,7,7,1883.95
gold,sphere,5,5,5,1264.49
gold,cylinder,4,5,5,1517.39
gold,cylinder,1,9,9,1229.09
gold,box,1,2,6,231.84
platinum,cylinder,5,1,1,82.82
bronze,box,10,5,7,3251.5
tin,cylinder,7,10,10,4018.88
tin,box,1,1,7,51.17
gold,box,2,7,9,2434.32
bronze,cylinder,10,9,9,5910.04
gold,cylinder,6,6,6,3277.56
platinum,cylinder,1,3,3,149.08
tin,cylinder,1,2,2,22.97
tin,box,8,7,1,409.36
tin,box,1,7,6,307.02
gold,sphere,7,7,7,3469.76
gold,cylinder,9,9,9,11061.77
bronze,sphere,2,2,2,38.91
gold,box,9,7,4,4868.64
silver,cylinder,3,6,6,889.79
gold,cylinder,6,4,4,1456.69
gold,cylinder,10,8,8,9711.29
bronze,box,10,4,8,2972.8
silver,cylinder,5,1,1,41.19
silver,cylinder,7,6,6,2076.18
gold,cylinder,10,8,8,9711.29
platinum,cylinder,10,7,7,8116.38
bronze,box,8,7,5,2601.2
silver,cylinder,9,5,5,1853.74
gold,cylinder,6,10,10,9104.34
gold,cylinder,9,6,6,4916.34
tin,sphere,10,10,10,3827.51
gold,box,7,9,9,10954.44
bronze,sphere,9,9,9,3546.03
bronze,sphere,10,10,10,4864.23
gold,cylinder,2,6,6,1092.52
silver,cylinder,7,5,5,1441.79
bronze,sphere,6,6,6,1050.67
platinum,cylinder,2,4,4,530.05
platinum,box,1,1,5,105.45
bronze,box,2,6,3,334.44
gold,sphere,4,4,4,647.42
platinum,cylinder,10,9,9,13416.88
tin,sphere,7,7,7,1312.83
tin,cylinder,9,1,1,51.67
silver,sphere,1,1,1,5.49
silver,cylinder,1,3,3,74.15
gold,cylinder,5,8,8,4855.65
gold,cylinder,2,3,3,273.13
silver,sphere,7,7,7,1883.95
platinum,sphere,10,10,10,11042.7
tin,box,9,8,7,3684.24
gold,cylinder,10,5,5,3793.47
platinum,cylinder,8,4,4,2120.2
bronze,sphere,5,5,5,608.03
bronze,cylinder,8,7,7,2860.17
tin,sphere,2,2,2,30.62
silver,cylinder,5,6,6,1482.99
bronze,sphere,2,2,2,38.91
platinum,cylinder,4,3,3,596.31
silver,box,5,1,3,157.35
gold,sphere,2,2,2,80.93
gold,box,8,8,3,3709.44
tin,sphere,10,10,10,3827.51
bronze,box,8,9,2,1337.76
platinum,sphere,7,7,7,3787.65
platinum,cylinder,3,1,1,49.69
tin,cylinder,7,5,5,1004.72
gold,cylinder,5,1,1,75.87
tin,box,5,10,6,2193.0
tin,sphere,2,2,2,30.62
platinum,sphere,2,2,2,88.34
gold,box,2,1,7,270.48
gold,sphere,3,3,3,273.13
tin,cylinder,1,8,8,367.44
platinum,box,4,1,8,674.88
platinum,box,1,5,10,1054.5
bronze,box,3,4,4,445.92
platinum,cylinder,10,3,3,1490.76
silver,box,1,8,8,671.36
tin,cylinder,5,1,1,28.71
gold,box,8,9,9,12519.36
silver,sphere,8,8,8,2812.19
silver,sphere,4,4,4,351.52
silver,sphere,6,6,6,1186.39
platinum,cylinder,6,1,1,99.38
gold,cylinder,8,1,1,121.39
platinum,cylinder,6,5,5,2484.61
tin,cylinder,8,10,10,4593.01
tin,cylinder,4,9,9,1860.17
gold,sphere,5,5,5,1264.49
tin,cylinder,9,6,6,1860.17
platinum,cylinder,2,4,4,530.05
bronze,cylinder,4,2,2,116.74
silver,box,9,8,6,4531.68
bronze,box,9,6,6,3009.96
platinum,box,10,3,4,2530.8
tin,box,5,5,9,1644.75
platinum,box,6,6,2,1518.48
bronze,sphere,6,6,6,1050.67
silver,sphere,4,4,4,351.52
silver,cylinder,10,5,5,2059.71
platinum,box,10,10,2,4218.0
gold,sphere,6,6,6,2185.04
silver,box,3,9,1,283.23
platinum,sphere,6,6,6,2385.22
platinum,box,8,7,4,4724.16
platinum,box,7,4,7,4133.64
gold,sphere,7,7,7,3469.76
tin,sphere,10,10,10,3827.51
platinum,cylinder,10,1,1,165.64
platinum,sphere,8,8,8,5653.86
platinum,box,10,10,10,21090.0
bronze,box,2,2,5,185.8
platinum,sphere,9,9,9,8050.13
bronze,cylinder,5,7,7,1787.61
platinum,cylinder,5,9,9,6708.44
platinum,cylinder,7,3,3,1043.53
bronze,cylinder,9,4,4,1050.67
platinum,box,8,6,3,3036.96
bronze,cylinder,9,4,4,1050.67
bronze,box,1,2,10,185.8
gold,cylinder,9,6,6,4916.34
tin,sphere,4,4,4,244.96
silver,box,5,8,1,419.6
tin,sphere,7,7,7,1312.83
gold,cylinder,9,7,7,6691.69
tin,sphere,10,10,10,3827.51
tin,sphere,10,10,10,3827.51
platinum,box,6,4,8,4049.28
silver,sphere,4,4,4,351.52
gold,sphere,9,9,9,7374.51
silver,sphere,2,2,2,43.94
silver,box,8,9,1,755.28
tin,sphere,4,4,4,244.96
tin,cylinder,7,8,8,2572.08
tin,cylinder,1,3,3,51.67
gold,sphere,2,2,2,80.93
platinum,sphere,7,7,7,3787.65
silver,box,8,1,5,419.6
platinum,cylinder,2,10,10,3312.81
silver,box,3,3,4,377.64
tin,sphere,3,3,3,103.34
gold,cylinder,1,10,10,1517.39
gold,sphere,7,7,7,3469.76
platinum,cylinder,2,9,9,2683.38
platinum,sphere,7,7,7,3787.65
bronze,box,3,8,7,1560.72
tin,cylinder,9,4,4,826.74
bronze,box,6,9,2,1003.32
gold,sphere,6,6,6,2185.04
gold,box,6,7,1,811.44
tin,sphere,10,10,10,3827.51
tin,box,1,3,5,109.65
platinum,box,5,2,6,1265.4
platinum,cylinder,3,6,6,1788.92
platinum,cylinder,9,6,6,5366.75
platinum,box,8,7,6,7086.24
platinum,box,5,1,1,105.45
gold,cylinder,8,2,2,485.56
tin,cylinder,9,1,1,51.67
platinum,sphere,8,8,8,5653.86
bronze,sphere,6,6,6,1050.67
platinum,cylinder,1,1,1,16.56
platinum,box,8,5,6,5061.6
gold,box,8,2,6,1854.72
gold,sphere,8,8,8,5179.36
bronze,sphere,8,8,8,2490.49
bronze,cylinder,8,5,5,1459.27
bronze,cylinder,6,8,8,2801.8
platinum,box,9,10,1,1898.1
platinum,cylinder,6,10,10,9938.43
bronze,box,6,2,9,1003.32
bronze,box,10,7,1,650.3
bronze,sphere,3,3,3,131.33
tin,cylinder,1,4,4,91.86
bronze,cylinder,7,7,7,2502.65
silver,sphere,9,9,9,4004.07
platinum,sphere,2,2,2,88.34
tin,cylinder,4,8,8,1469.76
bronze,box,10,8,6,4459.2
bronze,sphere,3,3,3,131.33
tin,cylinder,2,6,6,413.37
platinum,box,3,6,1,379.62
silver,sphere,5,5,5,686.57
bronze,sphere,3,3,3,131.33
platinum,cylinder,4,6,6,2385.22
platinum,cylinder,7,10,10,11594.83
bronze,sphere,1,1,1,4.86
bronze,sphere,10,10,10,4864.23
tin,box,3,7,9,1381.59
silver,cylinder,2,8,8,1054.57
silver,cylinder,9,6,6,2669.38
silver,box,2,4,5,419.6
bronze,sphere,3,3,3,131.33
gold,box,10,1,3,579.6
gold,cylinder,7,2,2,424.87
platinum,cylinder,3,3,3,447.23
gold,sphere,9,9,9,7374.51
gold,box,4,7,8,4327.68
silver,box,1,8,9,755.28
platinum,sphere,7,7,7,3787.65
platinum,sphere,4,4,4,706.73
bronze,box,8,9,8,5351.04
bronze,sphere,5,5,5,608.03
silver,cylinder,9,5,5,1853.74
silver,box,1,1,1,10.49
gold,cylinder,6,8,8,5826.77
tin,sphere,7,7,7,1312.83
tin,box,1,3,3,65.79
gold,sphere,9,9,9,7374.51
silver,box,2,4,7,587.44
silver,box,5,2,4,419.6
silver,cylinder,5,9,9,3336.72
platinum,cylinder,8,7,7,6493.11
silver,sphere,6,6,6,1186.39
platinum,cylinder,3,10,10,4969.21
platinum,sphere,8,8,8,5653.86
silver,box,7,3,9,1982.61
bronze,cylinder,8,5,5,1459.27
silver,sphere,8,8,8,2812.19
bronze,sphere,3,3,3,131.33
platinum,sphere,2,2,2,88.34
silver,sphere,8,8,8,2812.19
silver,sphere,10,10,10,5492.55
gold,box,5,4,8,3091.2
bronze,cylinder,1,4,4,116.74
gold,box,7,6,9,7302.96
bronze,sphere,4,4,4,311.31
silver,box,6,7,2,881.16
tin,cylinder,9,8,8,3306.97
tin,box,6,10,10,4386.0
tin,cylinder,3,7,7,843.97
gold,sphere,7,7,7,3469.76
silver,box,8,5,1,419.6
bronze,sphere,6,6,6,1050.67
silver,cylinder,7,5,5,1441.79
tin,cylinder,9,6,6,1860.17
bronze,cylinder,1,9,9,591.0
silver,cylinder,5,6,6,1482.99
silver,box,5,4,2,419.6
tin,box,4,5,2,292.4
bronze,box,7,3,1,195.09
platinum,box,10,5,8,8436.0
silver,box,7,1,2,146.86
silver,sphere,7,7,7,1883.95
silver,sphere,8,8,8,2812.19
tin,box,6,6,9,2368.44
bronze,sphere,1,1,1,4.86
tin,sphere,4,4,4,244.96
silver,cylinder,1,2,2,32.96
gold,box,6,4,5,2318.4
tin,cylinder,10,2,2,229.65
silver,box,6,9,7,3965.22
gold,box,5,4,8,3091.2
gold,sphere,10,10,10,10115.93
silver,box,1,4,3,125.88
platinum,cylinder,2,5,5,828.2
gold,box,7,10,1,1352.4
gold,box,9,5,10,8694.0
gold,cylinder,2,9,9,2458.17
platinum,cylinder,9,3,3,1341.69
silver,sphere,3,3,3,148.3
gold,sphere,1,1,1,10.12
bronze,cylinder,9,1,1,65.67
gold,cylinder,6,10,10,9104.34
silver,box,10,2,4,839.2
tin,cylinder,7,2,2,160.76
silver,box,2,8,2,335.68
gold,box,6,7,6,4868.64
tin,box,4,6,8,1403.52
platinum,cylinder,2,9,9,2683.38
silver,sphere,10,10,10,5492.55
platinum,box,10,7,7,10334.1
tin,box,1,3,8,175.44
gold,cylinder,3,9,9,3687.26
gold,box,1,10,3,579.6
silver,sphere,2,2,2,43.94
platinum,cylinder,3,4,4,795.07
silver,cylinder,6,6,6,1779.59
gold,box,1,4,3,231.84
silver,cylinder,9,6,6,2669.38
tin,box,9,1,7,460.53
platinum,cylinder,10,9,9,13416.88
bronze,sphere,5,5,5,608.03
tin,sphere,9,9,9,2790.25
bronze,cylinder,4,3,3,262.67
bronze,box,3,8,8,1783.68
tin,cylinder,7,1,1,40.19
bronze,sphere,6,6,6,1050.67
silver,sphere,2,2,2,43.94
platinum,cylinder,1,5,5,414.1
gold,box,4,9,3,2086.56
bronze,box,9,9,1,752.49
tin,box,2,4,10,584.8
silver,box,1,3,1,31.47
