surgery,age,hospital_num,rectal_temperature,pulse,respiratory_rate,temperature_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,surgical_lesion,lesion_type_1,lesion_type_2,lesion_type_3,cp_data
1,1,5290481,37.6,64,21,1,1,2,1,2,3,1,1,1,?,2,5,40,7,1,?,1,1,4205,0,0,1
2,1,532110,39.4,110,35,4,3,6,?,?,3,3,?,?,?,?,?,55,8.7,?,?,1,2,0,0,0,2
1,1,530157,39.9,72,60,1,1,5,2,5,4,4,3,1,?,4,4,46,6.1,2,?,1,1,2111,0,0,2
2,1,529340,38.4,48,16,1,?,1,1,1,3,1,2,3,5.5,4,3,49,6.8,?,?,1,2,0,0,0,2
1,1,521681,38.6,42,34,2,1,4,?,2,3,1,?,?,?,1,?,48,7.2,?,?,1,1,3111,0,0,2
1,9,534998,38.3,130,60,?,3,?,1,2,4,?,?,?,?,?,?,50,70,?,?,1,1,3111,0,0,2
1,1,533692,38.1,60,12,3,3,3,1,?,4,3,3,2,2,?,?,51,65,?,?,1,1,3111,0,0,2
2,1,529518,37.8,60,42,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,1,2,0,0,0,2
1,1,530526,38.3,72,30,4,3,3,2,3,3,3,2,1,?,3,5,43,7,2,3.9,1,1,3111,0,0,1
1,1,528653,37.8,48,12,3,1,1,1,?,3,2,1,1,?,1,3,37,5.5,2,1.3,1,2,4122,0,0,1
1,1,5279442,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,2,4300,0,0,2
2,1,535415,37.7,48,?,2,1,1,1,1,1,1,1,1,?,?,?,45,76,?,?,1,2,0,0,0,2
2,1,529475,37.7,96,30,3,3,4,2,5,4,4,3,2,4,4,5,66,7.5,?,?,2,1,4205,0,0,2
2,1,530242,37.2,108,12,3,3,4,2,2,4,2,?,3,6,3,3,52,8.2,3,7.4,3,1,2207,0,0,1
1,1,529427,37.2,60,?,2,1,1,1,3,3,3,2,1,?,4,5,43,6.6,?,?,1,1,2209,0,0,2
1,1,529663,38.2,64,28,1,1,1,1,3,1,?,?,?,?,4,4,49,8.6,2,6.6,1,1,2208,0,0,1
1,1,529796,?,100,30,3,3,4,2,5,4,4,3,3,?,4,4,52,6.6,?,?,1,1,1124,0,0,2
2,1,528812,?,104,24,4,3,3,2,4,4,3,?,3,?,?,2,73,8.4,?,?,3,1,7111,0,0,2
2,1,529493,38.3,112,16,?,3,5,2,?,?,1,1,2,?,?,5,51,6,2,1,3,2,5205,0,0,1
1,1,533847,37.8,72,?,?,3,?,1,5,3,1,?,1,?,1,1,56,80,1,2,1,1,3111,0,0,2
2,1,528996,38.6,52,?,1,1,1,1,3,3,2,1,1,?,1,3,32,6.6,1,5,1,2,0,0,0,1
1,9,5277409,39.2,146,96,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,1,2113,0,0,2
1,1,529498,?,88,?,3,3,6,2,5,3,3,1,3,?,4,5,63,6.5,3,?,2,1,4205,0,0,2
2,9,5288249,39,150,72,?,?,?,?,?,?,?,?,?,?,?,?,47,8.5,?,0.1,1,1,9400,0,0,1
2,1,530301,38,60,12,3,1,3,1,3,3,1,1,1,?,2,2,47,7,?,?,1,2,3111,0,0,2
1,1,534069,?,120,?,3,4,4,1,4,4,4,1,1,?,?,5,52,67,2,2,3,1,3205,0,0,2
1,1,535407,35.4,140,24,3,3,4,2,4,4,?,2,1,?,?,5,57,69,3,2,3,1,3205,0,0,2
2,1,529827,?,120,?,4,3,4,2,5,4,4,1,1,?,4,5,60,6.5,3,?,2,1,3205,0,0,2
1,1,529888,37.9,60,15,3,?,4,2,5,4,4,2,2,?,4,5,65,7.5,?,?,1,1,2305,0,0,1
2,1,529821,37.5,48,16,1,1,1,1,1,1,1,1,1,?,1,?,37,6.5,?,?,1,2,0,0,0,2
1,1,528890,38.9,80,44,3,3,3,2,2,3,3,2,2,7,3,1,54,6.5,3,?,2,1,7111,0,0,2
2,1,529642,37.2,84,48,3,3,5,2,4,1,2,1,2,?,2,1,73,5.5,2,4.1,2,2,4300,0,0,1
2,1,529766,38.6,46,?,1,1,2,1,1,3,2,1,1,?,?,2,49,9.1,1,1.6,1,2,3111,0,0,1
1,1,527706,37.4,84,36,1,?,3,2,3,3,2,?,?,?,4,5,?,?,3,?,2,1,7209,0,0,1
2,1,529483,?,?,?,1,1,3,1,1,3,1,?,?,?,2,2,43,7.7,?,?,1,2,3111,0,0,2
2,1,530544,38.6,40,20,?,?,?,1,?,?,?,?,?,?,?,?,41,6.4,?,?,1,2,3111,0,0,1
2,1,529461,40.3,114,36,3,3,1,2,2,3,3,2,1,7,1,5,57,8.1,3,4.5,3,1,7400,0,0,1
1,9,5282839,38.6,160,20,3,?,5,1,3,3,4,3,?,?,4,?,38,?,2,?,2,1,7111,0,0,1
1,1,528872,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,24,6.7,?,?,1,1,3112,0,0,2
1,1,529640,?,64,36,2,?,2,1,5,3,3,2,2,?,?,?,42,7.7,?,?,2,1,3209,0,0,2
1,1,528298,?,?,20,4,3,3,?,5,4,3,2,?,?,4,4,53,5.9,3,?,2,1,3205,0,0,1
2,1,528904,?,96,?,3,3,3,2,5,4,4,1,2,?,4,5,60,?,?,?,2,1,4205,0,0,2
2,1,530438,37.8,48,32,1,1,3,1,2,1,?,1,1,?,4,5,37,6.7,?,?,1,2,2124,0,0,2
2,1,527957,38.5,60,?,2,2,1,1,1,2,2,2,1,?,1,1,44,7.7,?,?,1,2,0,0,0,2
1,1,528630,37.8,88,22,2,1,2,1,3,?,?,2,?,?,4,?,64,8,1,6,2,1,3205,0,0,1
2,1,534293,38.2,130,16,4,3,4,2,2,4,4,1,1,?,?,?,65,82,2,2,3,2,2209,1400,0,2
1,1,529667,39,64,36,3,1,4,2,3,3,2,1,2,7,4,5,44,7.5,3,5,1,1,2113,0,0,1
1,1,534885,?,60,36,3,1,3,1,3,3,2,1,1,?,3,4,26,72,2,1,1,1,2208,0,0,2
2,1,534784,37.9,72,?,1,1,5,2,3,3,1,1,3,2,3,4,58,74,1,2,1,1,2322,0,0,2
2,1,528931,38.4,54,24,1,1,1,1,1,3,1,2,1,?,3,2,49,7.2,1,?,1,2,3111,0,0,1
2,1,529777,?,52,16,1,?,3,1,?,?,?,2,3,5.5,?,?,55,7.2,?,?,1,2,2124,0,0,2
2,1,530276,38,48,12,1,1,1,1,1,3,?,1,1,?,3,2,42,6.3,2,4.1,1,2,3111,0,0,1
2,1,528214,37,60,20,3,?,?,1,3,?,3,2,2,4.5,4,4,43,7.6,?,?,3,1,2209,0,0,1
1,1,529424,37.8,48,28,1,1,1,1,1,2,1,2,?,?,1,1,46,5.9,2,7,1,2,0,0,0,1
1,1,5299253,37.7,56,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,1,2113,0,0,2
1,1,528469,38.1,52,24,1,1,5,1,4,3,1,2,3,7,1,?,54,7.5,2,2.6,2,1,2112,0,0,1
1,9,5292929,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,37,4.9,?,?,2,1,11124,0,0,2
1,9,534092,39.7,100,?,3,3,5,2,2,3,?,?,?,?,?,?,48,57,2,2,3,1,1400,0,0,2
1,1,534615,37.6,38,20,3,3,1,1,3,3,2,?,?,?,3,?,37,68,?,?,1,1,3205,0,0,2
2,1,534753,38.7,52,20,2,?,1,1,1,1,1,1,1,?,1,1,33,77,?,?,1,2,0,0,0,2
1,1,530693,?,?,?,3,3,3,3,5,3,3,3,2,?,4,5,46,5.9,?,?,2,1,3025,0,0,2
1,1,527463,37.5,96,18,1,3,6,2,3,4,2,2,3,5,?,4,69,8.9,3,?,1,1,2208,0,0,1
1,1,527518,36.4,98,35,3,3,4,1,4,3,2,?,?,?,4,4,47,6.4,3,3.6,2,1,2205,0,0,1
1,1,534756,37.3,40,?,?,3,1,1,2,3,2,3,1,?,3,5,36,?,3,2,1,1,3111,0,0,2
1,9,5290759,38.1,100,80,3,1,2,1,3,4,1,?,?,?,1,?,36,5.7,?,?,1,1,3111,0,0,2
1,1,5279822,38,?,24,3,3,6,2,5,?,4,1,1,?,?,?,68,7.8,?,?,2,1,3205,0,0,2
1,1,529849,37.8,60,80,1,3,2,2,2,3,3,?,2,5.5,4,?,40,4.5,2,?,1,1,5206,0,0,1
2,1,529304,38,54,30,2,3,3,3,3,1,2,2,2,?,?,4,45,6.2,?,?,1,2,400,0,0,2
1,1,529388,?,88,40,3,3,4,2,5,4,3,3,?,?,4,5,50,7.7,3,1.4,2,1,4205,0,0,1
2,1,528006,?,40,16,?,?,?,1,?,?,?,?,?,?,?,?,50,7,2,3.9,3,1,2208,0,0,1
2,1,529703,39,64,40,1,1,5,1,3,3,2,2,1,?,3,3,42,7.5,2,2.3,1,2,5000,0,0,1
2,1,535381,38.3,42,10,1,1,1,1,1,1,1,?,?,?,?,?,38,61,?,?,1,2,0,0,0,2
2,1,534197,38,52,16,?,?,?,?,2,?,?,?,3,1,1,1,53,86,?,?,1,1,2322,0,0,2
2,1,529461,40.3,114,36,3,3,1,2,2,3,3,2,1,7,1,5,57,8.1,3,4.5,2,1,3205,0,0,1
2,1,530251,38.8,50,20,3,1,1,1,1,1,1,2,1,?,3,1,42,6.2,?,?,1,2,0,0,0,2
2,1,530310,?,?,?,3,3,1,1,5,3,3,1,1,?,4,5,38,6.5,?,?,2,1,3205,0,0,2
2,1,528729,37.5,48,30,4,1,3,1,?,2,1,1,1,?,1,1,48,8.6,?,?,1,2,0,0,0,2
1,1,535158,37.3,48,20,?,1,2,1,3,3,3,2,1,?,3,5,41,69,?,?,1,1,3205,0,0,2
2,1,530319,?,84,36,?,?,3,1,?,3,1,2,1,?,3,2,44,8.5,?,?,1,1,3111,0,0,2
1,1,534145,38.1,88,32,3,3,4,1,2,3,3,?,3,1,4,5,55,60,?,?,3,2,3205,0,0,2
2,1,534135,37.7,44,40,2,1,3,1,1,3,2,1,1,?,1,5,41,60,?,?,1,2,0,0,0,2
2,1,530002,39.6,108,51,3,3,6,2,2,4,3,1,2,?,3,5,59,8,2,2.6,1,2,4300,0,0,1
1,1,535364,38.2,40,16,3,3,1,1,1,3,?,?,?,?,1,1,34,66,?,?,1,2,0,0,0,2
1,1,534899,?,60,20,4,3,4,2,5,4,?,?,1,?,4,5,?,?,?,?,3,1,3205,0,0,2
2,1,534938,38.3,40,16,3,?,1,1,2,?,?,?,?,?,?,?,37,57,?,?,1,2,0,0,0,2
1,9,5292489,38,140,68,1,1,1,1,3,3,2,?,?,?,2,1,39,5.3,?,?,1,1,7111,0,0,2
1,1,527563,37.8,52,24,1,3,3,1,4,4,1,2,3,5.7,2,5,48,6.6,1,3.7,2,1,5400,0,0,2
1,1,530381,?,70,36,1,?,3,2,2,3,2,2,?,?,4,5,36,7.3,?,?,1,1,31110,0,0,2
1,1,528668,38.3,52,96,?,3,3,1,?,?,?,1,1,?,1,?,43,6.1,?,?,1,1,3209,0,0,1
2,1,529764,37.3,50,32,1,1,3,1,1,3,2,?,?,?,1,?,44,7,?,?,1,2,0,0,0,2
1,1,533696,38.7,60,32,4,3,2,2,4,4,4,?,?,?,4,5,53,64,3,2,3,1,3205,0,0,2
1,9,5297379,38.4,84,40,3,3,2,1,3,3,3,1,1,?,?,?,36,6.6,2,2.8,2,1,2205,0,0,1
1,1,527544,?,70,16,3,4,5,2,2,3,2,2,1,?,4,5,60,7.5,?,?,2,1,2112,0,0,2
1,1,533736,38.3,40,16,3,?,?,1,1,3,2,?,?,?,?,?,38,58,1,2,1,1,3111,7111,0,2
1,1,534963,?,40,?,2,1,1,1,1,3,1,1,1,?,?,5,39,56,?,?,1,1,3111,0,0,2
1,1,527933,36.8,60,28,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10,2,1,3205,0,0,1
1,1,532349,38.4,44,24,3,?,4,?,5,4,3,2,1,?,4,5,50,77,?,?,1,1,3205,0,0,2
2,1,533723,?,?,40,3,1,1,1,3,3,2,?,?,?,?,?,45,70,?,?,1,2,0,0,0,2
1,1,535208,38,44,12,1,1,1,1,3,3,3,2,1,?,4,5,42,65,?,?,1,1,3205,3111,0,2
2,1,5290482,39.5,?,?,3,3,4,2,3,4,3,?,3,5.5,4,5,?,6.7,1,?,3,1,4205,0,0,2
1,1,533983,36.5,78,30,1,?,1,1,5,3,1,?,1,?,?,?,34,75,2,1,1,1,3112,6112,0,2
2,1,535166,38.1,56,20,2,1,2,1,1,3,1,1,1,?,?,?,46,70,?,?,1,2,0,0,0,2
1,1,528682,39.4,54,66,1,1,2,1,2,3,2,1,1,?,3,4,39,6,2,?,1,1,2206,0,0,1
1,1,534556,38.3,80,40,?,?,6,2,4,3,1,?,2,?,1,4,67,10.2,2,1,3,1,2208,0,0,2
2,1,534579,38.7,40,28,2,1,1,1,3,1,1,?,?,?,1,?,39,62,1,1,1,2,0,0,0,2
1,1,530360,38.2,64,24,1,1,3,1,4,4,3,2,1,?,4,4,45,7.5,1,2,2,1,3205,0,0,1
2,1,529840,37.6,48,20,3,1,4,1,1,1,3,2,1,?,1,1,37,5.5,?,?,3,1,2205,0,0,2
1,1,528461,38,42,68,4,1,1,1,3,3,2,2,2,?,4,4,41,7.6,?,?,1,1,2205,0,0,2
1,1,530384,38.7,?,?,3,1,3,1,5,4,2,?,?,?,?,?,33,6.5,2,?,1,1,31110,0,0,2
1,1,5262541,37.4,50,32,3,3,?,1,4,4,1,2,1,?,1,?,45,7.9,2,1,1,1,2208,0,0,1
1,1,535330,37.4,84,20,?,?,3,1,2,3,3,?,?,?,?,?,31,61,?,1,3,2,2208,0,0,2
1,1,527698,38.4,49,?,?,?,1,1,?,?,1,2,1,?,?,?,44,7.6,?,?,1,1,2206,0,0,2
1,1,528964,37.8,30,12,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,1,2113,0,0,2
2,1,530670,37.6,88,36,3,1,1,1,3,3,2,1,3,1.5,?,?,44,6,?,?,2,1,1400,0,0,2
?,1,534572,38,48,20,3,1,3,1,4,3,1,2,1,?,3,5,43,73,2,1,?,1,3111,0,0,2
2,1,530294,37.9,40,24,1,1,1,1,2,3,1,?,?,?,?,3,40,5.7,?,?,1,1,400,0,0,2
1,1,527524,?,100,?,3,?,4,2,5,4,?,2,?,?,2,?,59,6.3,?,?,2,1,4205,0,0,2
1,9,5287179,38.1,136,48,3,3,3,1,5,1,3,2,2,4.4,2,?,33,4.9,2,2.9,2,1,2205,0,0,1
1,1,530693,?,?,?,3,3,3,2,5,3,3,3,2,?,4,5,46,5.9,?,?,2,1,3025,0,0,2
1,1,534324,38,48,?,1,1,1,1,1,2,4,2,2,?,4,5,?,?,?,?,1,1,3111,0,0,2
2,1,532349,38,56,?,1,2,3,1,1,1,1,1,1,?,1,1,42,71,?,?,1,2,0,0,0,2
2,1,534491,38,60,32,1,1,?,1,3,3,?,1,1,?,?,?,50,7,1,1,1,2,0,0,0,2
1,1,529960,38.1,44,9,3,1,1,1,2,2,1,1,1,?,4,5,31,7.3,?,?,1,2,5124,0,0,2
2,1,522979,36,42,30,?,?,5,1,?,?,?,?,?,?,?,?,64,6.8,?,?,2,2,1400,0,0,2
1,1,530402,?,120,?,4,3,6,2,5,4,4,?,?,?,4,5,57,4.5,3,3.9,2,1,3205,0,0,1
1,1,529424,37.8,48,28,1,1,1,2,1,2,1,2,?,?,1,1,46,5.9,2,7,1,2,0,0,0,1
1,1,534519,37.1,84,40,3,3,6,1,2,4,4,3,2,2,4,5,75,81,?,?,3,2,1400,0,0,2
2,1,535246,?,80,32,3,3,2,1,2,3,3,2,1,?,3,?,50,80,?,?,1,1,0,0,0,2
1,1,534115,38.2,48,?,1,3,3,1,3,4,4,1,3,2,4,5,42,71,?,?,1,1,3111,0,0,2
2,1,530001,38,44,12,2,1,3,1,3,4,3,1,2,6.5,1,4,33,6.5,?,?,2,1,2209,0,0,2
1,1,529272,38.3,132,?,?,3,6,2,2,4,2,2,3,6.2,4,4,57,8,?,5.2,1,1,2112,0,0,1
2,1,535314,38.7,48,24,?,?,?,?,1,1,?,1,1,?,1,?,34,63,?,?,1,2,0,0,0,2
2,1,533793,38.9,44,14,3,1,1,1,2,3,2,?,?,?,?,2,33,64,?,?,1,2,0,0,0,2
1,1,529399,39.3,?,?,4,3,6,2,4,4,2,1,3,4,4,4,75,?,3,4.3,2,1,2207,0,0,1
1,1,533836,?,100,?,3,3,4,2,?,4,4,2,1,2,?,?,68,64,3,2,1,1,2209,0,0,2
2,1,528804,38.6,48,20,3,1,1,1,1,3,2,2,1,?,3,2,50,7.3,1,?,1,2,3111,0,0,1
2,1,535163,38.8,48,40,1,1,3,1,3,3,4,2,?,?,?,5,41,65,?,?,1,1,4124,0,0,2
2,1,528247,38,48,20,3,3,4,1,1,4,2,2,?,5,?,2,49,8.3,1,?,1,2,400,0,0,1
2,1,528996,38.6,52,20,1,1,1,1,3,3,2,1,1,?,1,3,36,6.6,1,5,1,2,0,0,0,1
1,1,533928,37.8,60,24,1,?,3,2,?,4,4,2,3,2,?,5,52,75,?,?,3,1,2205,0,0,2
2,1,528248,38,42,40,3,1,1,1,3,3,1,?,?,?,?,?,?,?,?,?,1,2,3111,0,0,2
2,1,528134,?,?,12,1,1,2,1,2,1,2,3,1,?,1,3,44,7.5,2,?,1,2,0,0,0,1
1,1,527916,?,?,?,?,?,?,?,4,?,?,1,1,?,?,5,35,58,2,1,1,1,4205,0,0,2
1,1,530431,38.3,42,24,?,?,?,1,?,?,?,?,?,?,?,?,40,8.5,?,?,2,1,7113,0,0,2
2,1,535176,39.5,60,10,3,?,?,2,3,3,2,2,1,?,3,?,38,56,1,?,1,2,0,0,0,2
1,1,533942,38,66,20,1,3,3,1,5,3,1,1,1,?,3,?,46,46,3,2,3,1,6209,0,0,2
1,1,528523,38.7,76,?,1,1,5,2,3,3,2,2,2,?,4,4,50,8,?,?,1,1,2208,0,0,1
1,1,534925,39.4,120,48,?,?,5,1,?,3,3,1,?,?,4,?,56,64,1,2,3,2,1400,0,0,2
1,1,527916,38.3,40,18,1,1,1,1,3,1,1,?,?,?,2,1,43,5.9,1,?,1,2,0,0,0,1
2,1,528299,?,44,24,1,1,1,1,3,3,1,2,1,?,?,1,?,6.3,?,?,1,2,3111,0,0,2
1,1,530254,38.4,104,40,1,1,3,1,2,4,2,2,3,6.5,?,4,55,8.5,?,?,1,1,2124,0,0,2
1,1,535085,?,65,24,?,?,?,2,5,?,4,3,1,?,?,5,?,?,?,?,3,1,3205,0,0,2
2,1,532985,37.5,44,20,1,1,3,1,?,1,1,?,?,?,1,?,35,7.2,?,?,1,2,0,0,0,2
2,1,527677,39,86,16,3,3,5,?,3,3,3,?,2,?,?,?,68,5.8,3,6,2,1,5400,0,0,1
1,1,535292,38.5,129,48,3,3,3,1,2,4,3,1,3,2,?,?,57,66,3,2,1,1,2206,0,0,2
1,1,529729,?,104,?,3,3,5,2,2,4,3,?,3,?,4,4,69,8.6,2,3.4,2,1,2207,0,0,1
2,1,518476,?,?,?,3,4,6,?,4,?,4,?,?,?,?,?,?,?,?,?,2,1,3400,0,0,1
1,1,527929,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,1,2208,0,0,2
1,1,535130,38.2,60,30,1,1,3,1,3,3,1,2,1,?,3,2,48,66,?,?,1,1,6112,0,0,2
1,1,523190,?,68,14,?,?,4,1,4,?,?,?,1,4.3,?,?,?,?,2,2.8,2,1,4205,0,0,1
1,1,533968,?,60,30,3,3,4,2,5,4,4,1,1,?,4,?,45,70,3,2,1,1,6111,3111,0,2
2,1,528151,38.5,100,?,3,3,5,2,4,3,4,2,1,?,4,5,?,?,?,?,3,2,1111,0,0,1
1,1,530239,38.4,84,30,3,1,5,2,4,3,3,2,3,6.5,4,4,47,7.5,3,?,2,1,2300,0,0,2
2,1,528305,37.8,48,14,?,?,1,1,3,?,2,1,3,5.3,1,?,35,7.5,?,?,1,2,3111,0,0,1
1,1,5279822,38,?,24,3,3,6,2,5,?,4,1,1,?,?,?,68,7.8,?,?,2,1,2205,0,0,2
2,1,534857,37.8,56,16,1,1,2,1,2,1,1,2,1,?,1,?,44,68,1,1,1,2,0,0,0,2
2,1,534053,38.2,68,32,2,2,2,1,1,1,1,3,1,?,1,1,43,65,?,?,1,2,0,0,0,2
1,1,534833,38.5,120,60,4,3,6,2,?,3,?,?,?,?,?,?,54,?,?,?,1,1,5400,0,0,2
1,1,5278331,39.3,64,90,2,3,1,1,?,3,1,1,2,?,?,?,39,6.7,?,?,1,1,21110,0,0,2
1,1,527365,38.4,80,30,4,3,1,1,3,3,3,3,3,?,4,5,32,6.1,3,4.3,1,1,7209,0,0,1
1,1,533887,38.5,60,?,1,1,?,1,?,1,1,?,?,?,?,?,33,53,1,?,1,1,4111,0,0,2
1,1,5299603,38.3,60,16,3,1,1,1,2,1,1,2,2,3,1,4,30,6,1,3,1,1,31110,0,0,2
1,1,528742,37.1,40,8,?,1,4,1,3,3,1,1,1,?,3,3,23,6.7,3,?,1,1,3133,0,0,1
2,9,5287279,?,100,44,2,1,1,1,4,1,1,?,?,?,1,?,37,4.7,?,?,1,2,7111,0,0,2
1,1,534788,38.2,48,18,1,1,1,1,3,3,3,1,2,?,4,?,48,74,1,2,1,1,5111,0,0,2
1,1,529373,?,60,48,3,3,4,2,4,3,4,?,?,?,?,?,58,7.6,?,?,2,1,3205,0,0,2
2,1,534163,37.9,88,24,1,1,2,1,2,2,1,?,?,?,4,1,37,56,?,?,1,2,0,0,0,2
2,1,533697,38,44,12,3,1,1,?,?,1,2,?,?,?,1,?,42,64,?,?,1,2,0,0,0,2
2,1,529628,38.5,60,20,1,1,5,2,2,2,1,2,1,?,2,3,63,7.5,2,2.3,3,2,300,0,0,1
2,1,521399,38.5,96,36,3,3,?,2,2,4,2,1,2,?,4,5,70,8.5,?,?,2,1,1400,0,0,1
2,1,533885,38.3,60,20,1,1,1,2,1,3,1,?,?,?,3,?,34,66,?,?,1,2,0,0,0,2
2,1,534157,38.5,60,40,3,1,2,1,2,1,2,?,?,?,3,2,49,59,?,?,1,2,0,0,0,2
1,1,528047,37.3,48,12,1,?,3,1,3,1,3,2,1,?,3,3,40,6.6,2,?,1,1,3205,0,0,1
1,1,528641,38.5,86,?,1,1,3,1,4,4,3,2,1,?,3,5,45,7.4,1,3.4,2,1,3209,0,0,1
1,1,534073,37.5,48,40,?,?,?,?,?,?,?,1,1,?,?,5,41,55,3,2,3,1,2208,0,0,2
2,1,529685,37.2,36,9,1,1,1,1,2,3,1,2,1,?,4,1,35,5.7,?,?,1,2,31110,0,0,2
1,1,529528,39.2,?,23,3,1,3,1,4,4,2,2,?,?,?,?,36,6.6,1,3,1,1,3115,0,0,1
2,1,528151,38.5,100,?,3,3,5,2,4,3,4,2,1,?,4,5,?,?,?,?,3,2,4124,0,0,2
1,1,535137,38.5,96,30,2,3,4,2,4,4,3,2,1,?,3,5,50,65,?,?,1,1,6111,3112,0,2
1,1,530297,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45,8.7,?,?,2,1,2208,0,0,2
1,1,535338,37.8,88,80,3,3,5,2,?,3,3,2,3,?,4,5,64,89,?,?,3,1,3205,0,0,2
2,1,534478,37.5,44,10,3,1,1,1,3,1,2,2,?,?,3,3,43,51,1,1,1,2,0,0,0,2
1,1,530401,37.9,68,20,?,1,2,1,2,4,2,?,?,?,1,5,45,4,3,2.8,2,1,5400,0,0,1
1,1,529893,38,86,24,4,3,4,1,2,4,4,1,1,?,4,5,45,5.5,1,10.1,2,1,3111,0,0,1
1,9,5294369,38.9,120,30,1,3,2,2,3,3,3,3,1,3,?,?,47,6.3,1,?,1,2,2124,0,0,2
1,1,528183,37.6,45,12,3,1,3,1,?,2,2,2,1,?,1,4,39,7,2,1.5,1,1,2112,0,0,1
2,1,529183,38.6,56,32,2,1,1,1,1,1,1,2,?,?,2,?,40,7,2,2.1,1,2,0,0,0,1
1,1,529135,37.8,40,12,1,1,1,1,1,2,1,2,1,?,1,2,38,7,?,?,1,1,3111,0,0,2
2,1,528977,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,2,0,0,0,2
1,1,5279441,38,76,18,?,?,?,2,?,?,?,?,?,?,?,?,71,11,?,?,1,1,2209,0,0,1
1,1,535240,38.1,40,36,1,2,2,1,2,2,?,?,?,?,?,?,?,?,?,?,3,1,3112,0,0,2
1,1,529736,?,52,28,3,3,4,1,3,4,3,2,1,?,4,4,37,8.1,?,?,1,1,2111,0,0,2
1,1,535029,39.2,88,58,4,4,?,2,5,4,?,?,?,?,?,?,?,?,2,2,3,2,3205,0,0,2
1,1,535031,38.5,92,40,4,3,?,1,2,4,3,?,?,?,4,?,46,67,2,2,1,1,2208,0,0,2
1,1,528800,?,112,13,4,4,4,1,2,3,1,2,1,4.5,4,4,60,6.3,3,?,1,1,2205,0,0,1
